ip1,ip2,port1,port2,proto,pkts12,pkts21,bytes12,bytes21,etime,class,app,entity1,entity2,part1,part2,link_label
192.168.7.49,8.8.8.8,65021,53,17,1,1,71,126,1525251660,8,916,192.168.7.49_65021,8.8.8.8_53,4,4,4_4
192.168.7.215,114.114.114.114,62741,53,17,2,2,118,334,1525251658,8,916,192.168.7.215_62741,114.114.114.114_53,3,3,3_3
192.168.7.215,114.114.114.114,53392,53,17,2,2,136,230,1525251659,8,916,192.168.7.215_53392,114.114.114.114_53,3,3,3_3
58.247.204.141,192.168.7.185,443,62718,6,1,3,52,148,1525251646,8,913,58.247.204.141_443,192.168.7.185_62718,116,116,116_116
61.240.133.7,192.168.7.131,80,10681,6,9,10,8130,590,1525251654,8,237,61.240.133.7_80,192.168.7.131_10681,117,117,117_117
192.168.7.47,202.106.0.20,57447,53,17,1,1,71,385,1525251657,8,916,192.168.7.47_57447,202.106.0.20_53,1,1,1_1
192.168.7.49,202.106.0.20,57946,53,17,1,1,71,126,1525251660,8,916,192.168.7.49_57946,202.106.0.20_53,4,1,1_4
192.168.7.49,202.106.0.20,65021,53,17,1,1,71,126,1525251660,8,916,192.168.7.49_65021,202.106.0.20_53,4,1,1_4
192.168.7.49,202.106.0.20,58345,53,17,1,1,71,126,1525251660,8,916,192.168.7.49_58345,202.106.0.20_53,1,1,1_1
192.168.1.203,172.16.10.3,57388,53,17,5,0,355,0,1525251655,8,916,192.168.1.203_57388,172.16.10.3_53,12,12,12_12
192.168.1.203,172.16.10.3,61457,53,17,5,0,370,0,1525251659,8,916,192.168.1.203_61457,172.16.10.3_53,12,12,12_12
218.12.233.45,192.168.6.237,80,53328,6,3158,1882,4636118,86231,1525251644,8,237,218.12.233.45_80,192.168.6.237_53328,118,118,118_118
192.168.7.233,111.206.25.166,33140,80,6,6,4,1223,406,1525251654,8,237,192.168.7.233_33140,111.206.25.166_80,86,86,86_86
192.168.7.233,111.206.25.166,33142,80,6,5,4,827,362,1525251660,8,237,192.168.7.233_33142,111.206.25.166_80,86,86,86_86
192.168.7.157,111.206.76.34,52432,443,6,20,50,3265,22418,1525251660,8,913,192.168.7.157_52432,111.206.76.34_443,100,100,100_100
211.144.24.150,192.168.7.220,443,47703,6,1,3,52,296,1525251635,8,913,211.144.24.150_443,192.168.7.220_47703,119,119,119_119
192.168.7.38,120.92.15.24,52066,443,6,3,1,645,48,1525251641,8,913,192.168.7.38_52066,120.92.15.24_443,24,24,24_24
192.168.7.38,120.92.15.24,52069,443,6,3,1,645,48,1525251650,8,913,192.168.7.38_52069,120.92.15.24_443,24,24,24_24
192.168.7.34,111.206.37.178,5879,80,6,4,5,443,433,1525251623,8,237,192.168.7.34_5879,111.206.37.178_80,93,93,93_93
192.168.7.34,111.206.37.178,5883,80,6,4,5,426,433,1525251623,8,237,192.168.7.34_5883,111.206.37.178_80,93,93,93_93
192.168.7.34,111.206.37.178,5872,80,6,6,6,543,1112,1525251632,8,237,192.168.7.34_5872,111.206.37.178_80,93,93,93_93
192.168.7.34,111.206.37.178,5873,80,6,7,11,571,11580,1525251632,8,237,192.168.7.34_5873,111.206.37.178_80,93,93,93_93
192.168.7.201,202.106.0.20,5932,53,17,1,1,72,430,1525251660,8,916,192.168.7.201_5932,202.106.0.20_53,1,1,1_1
192.168.7.68,114.114.114.114,65169,53,17,1,1,67,162,1525251646,8,916,192.168.7.68_65169,114.114.114.114_53,3,3,3_3
224.0.0.251,192.168.7.234,0,0,2,0,1,0,32,1525251643,8,1676,224.0.0.251_0,192.168.7.234_0,120,120,120_120
218.12.228.225,192.168.6.237,80,53305,6,4,5,1091,617,1525251632,8,237,218.12.228.225_80,192.168.6.237_53305,121,121,121_121
192.168.7.157,123.125.81.6,61965,53,17,1,1,68,112,1525251660,8,916,192.168.7.157_61965,123.125.81.6_53,9,9,9_9
192.168.7.246,218.11.2.115,36302,443,6,3,1,307,60,1525251651,7,250,192.168.7.246_36302,218.11.2.115_443,36,36,36_36
192.168.7.246,218.11.2.115,36304,443,6,3,1,307,60,1525251651,7,250,192.168.7.246_36304,218.11.2.115_443,36,36,36_36
192.168.7.246,218.11.2.115,36305,443,6,3,1,307,60,1525251651,7,250,192.168.7.246_36305,218.11.2.115_443,36,36,36_36
192.168.7.202,123.126.122.29,58836,443,6,3,1,661,52,1525251646,8,913,192.168.7.202_58836,123.126.122.29_443,123,123,123_123
192.168.7.219,202.106.0.20,53379,53,17,1,1,69,235,1525251660,8,916,192.168.7.219_53379,202.106.0.20_53,1,1,1_1
192.168.7.38,123.125.80.70,52047,80,6,5,4,666,552,1525251617,8,237,192.168.7.38_52047,123.125.80.70_80,124,124,124_124
192.168.7.187,111.221.29.254,3281,443,6,3,4,348,3939,1525251649,8,913,192.168.7.187_3281,111.221.29.254_443,125,125,125_125
192.168.7.25,123.125.52.211,57482,443,6,3,1,649,52,1525251641,8,913,192.168.7.25_57482,123.125.52.211_443,126,126,126_126
192.168.7.233,123.125.110.18,56212,443,6,3,1,365,60,1525251644,8,913,192.168.7.233_56212,123.125.110.18_443,127,127,127_127
192.168.7.220,119.29.29.29,51935,80,6,5,3,432,312,1525251637,8,237,192.168.7.220_51935,119.29.29.29_80,128,128,128_128
192.168.7.192,111.230.164.77,50067,443,6,2,1,609,52,1525251660,8,913,192.168.7.192_50067,111.230.164.77_443,129,129,129_129
192.168.7.186,13.78.94.7,9495,443,6,3,5,355,5696,1525251609,8,913,192.168.7.186_9495,13.78.94.7_443,8,8,8_8
192.168.7.233,123.125.9.36,37428,80,6,23,60,2436,85997,1525251645,8,237,192.168.7.233_37428,123.125.9.36_80,131,131,131_131
192.168.7.233,123.125.9.36,37430,80,6,38,62,3412,82358,1525251645,8,237,192.168.7.233_37430,123.125.9.36_80,131,131,131_131
192.168.7.233,123.125.9.36,37426,80,6,21,59,1820,80437,1525251645,8,237,192.168.7.233_37426,123.125.9.36_80,131,131,131_131
192.168.6.225,123.125.54.246,55587,80,6,5,4,831,562,1525251658,8,237,192.168.6.225_55587,123.125.54.246_80,132,132,132_132
192.168.7.233,111.206.25.152,35738,443,6,3,1,345,52,1525251641,8,913,192.168.7.233_35738,111.206.25.152_443,134,134,134_134
192.168.7.233,111.206.25.152,35750,443,6,3,1,345,52,1525251644,8,913,192.168.7.233_35750,111.206.25.152_443,134,134,134_134
192.168.7.116,202.106.0.20,54126,53,17,1,1,71,388,1525251659,8,916,192.168.7.116_54126,202.106.0.20_53,1,1,1_1
192.168.7.116,202.106.0.20,59384,53,17,1,1,61,375,1525251659,8,916,192.168.7.116_59384,202.106.0.20_53,1,1,1_1
192.168.1.112,202.106.0.20,59514,53,17,1,1,55,257,1525251659,8,916,192.168.1.112_59514,202.106.0.20_53,1,1,1_1
192.168.7.233,123.126.122.29,48268,80,6,5,4,1299,1185,1525251644,8,237,192.168.7.233_48268,123.126.122.29_80,135,135,135_135
192.168.7.220,106.11.53.98,35518,80,6,5,4,426,493,1525251646,8,237,192.168.7.220_35518,106.11.53.98_80,136,136,136_136
192.168.1.204,8.8.8.8,32748,53,17,1,1,59,110,1525251658,8,916,192.168.1.204_32748,8.8.8.8_53,4,4,4_4
192.168.7.147,202.106.0.20,55560,53,17,1,1,73,504,1525251660,8,916,192.168.7.147_55560,202.106.0.20_53,1,1,1_1
192.168.7.183,1.1.1.1,60475,53,17,5,0,285,0,1525251633,8,916,192.168.7.183_60475,1.1.1.1_53,54,54,54_54
192.168.7.157,111.206.76.31,52422,443,6,3,19,663,988,1525251635,8,913,192.168.7.157_52422,111.206.76.31_443,19,19,19_19
192.168.7.157,111.206.76.31,52423,443,6,3,19,663,988,1525251635,8,913,192.168.7.157_52423,111.206.76.31_443,19,19,19_19
192.168.7.157,111.206.76.31,52424,443,6,2,21,92,1220,1525251635,8,913,192.168.7.157_52424,111.206.76.31_443,19,19,19_19
192.168.7.116,122.193.207.31,10206,80,6,4,4,405,399,1525251608,8,237,192.168.7.116_10206,122.193.207.31_80,71,71,71_71
192.168.7.221,58.247.204.139,53604,80,6,5,4,983,494,1525251620,8,237,192.168.7.221_53604,58.247.204.139_80,138,138,138_138
192.168.7.221,58.247.204.139,53605,80,6,5,4,983,494,1525251637,8,237,192.168.7.221_53605,58.247.204.139_80,138,138,138_138
192.168.7.185,114.114.114.114,59285,53,17,1,1,63,95,1525251656,8,916,192.168.7.185_59285,114.114.114.114_53,3,3,3_3
192.168.7.116,111.230.214.171,10208,80,6,4,4,358,435,1525251659,8,237,192.168.7.116_10208,111.230.214.171_80,139,139,139_139
192.168.7.157,123.125.115.99,52441,443,6,3,2,649,92,1525251660,8,913,192.168.7.157_52441,123.125.115.99_443,111,111,111_111
192.168.7.220,106.11.95.4,51987,443,6,3,1,657,52,1525251638,8,913,192.168.7.220_51987,106.11.95.4_443,141,141,141_141
192.168.7.220,106.11.95.4,51988,443,6,3,1,657,52,1525251638,8,913,192.168.7.220_51988,106.11.95.4_443,141,141,141_141
192.168.6.225,202.106.0.20,64564,53,17,1,1,59,207,1525251654,8,916,192.168.6.225_64564,202.106.0.20_53,1,1,1_1
192.168.6.225,202.106.0.20,55363,53,17,1,1,65,302,1525251658,8,916,192.168.6.225_55363,202.106.0.20_53,1,1,1_1
192.168.6.225,202.106.0.20,54689,53,17,1,1,58,291,1525251658,8,916,192.168.6.225_54689,202.106.0.20_53,1,1,1_1
192.168.7.240,106.11.250.133,52808,443,6,3,1,1178,52,1525251643,8,913,192.168.7.240_52808,106.11.250.133_443,142,142,142_142
192.168.6.253,211.159.155.139,51808,80,6,35,13,44358,735,1525251618,8,237,192.168.6.253_51808,211.159.155.139_80,144,144,144_144
192.168.6.254,122.193.207.52,60990,80,6,4,4,225,562,1525251645,8,237,192.168.6.254_60990,122.193.207.52_80,145,145,145_145
192.168.7.220,211.144.24.231,59311,443,6,3,1,315,52,1525251635,8,913,192.168.7.220_59311,211.144.24.231_443,147,147,147_147
192.168.7.220,211.144.24.231,59319,443,6,3,1,315,52,1525251636,8,913,192.168.7.220_59319,211.144.24.231_443,147,147,147_147
192.168.7.202,106.11.42.152,58832,80,6,7,5,977,1592,1525251631,5,230,192.168.7.202_58832,106.11.42.152_80,148,148,148_148
192.168.6.175,114.114.114.114,65170,53,17,1,1,56,72,1525251653,8,916,192.168.6.175_65170,114.114.114.114_53,54,3,3_54
192.168.6.175,114.114.114.114,62607,53,17,1,1,72,167,1525251659,8,916,192.168.6.175_62607,114.114.114.114_53,54,3,3_54
218.241.149.77,192.168.7.140,80,60716,6,3,4,261,1115,1525251605,8,237,218.241.149.77_80,192.168.7.140_60716,149,149,149_149
192.168.6.254,114.114.114.114,57262,53,17,1,1,52,84,1525251635,8,916,192.168.6.254_57262,114.114.114.114_53,3,3,3_3
192.168.6.254,114.114.114.114,62800,53,17,1,1,72,170,1525251636,8,916,192.168.6.254_62800,114.114.114.114_53,3,3,3_3
192.168.6.254,114.114.114.114,51426,53,17,1,1,55,103,1525251645,8,916,192.168.6.254_51426,114.114.114.114_53,3,3,3_3
192.168.7.47,122.193.207.23,56291,80,6,4,4,546,514,1525251657,8,237,192.168.7.47_56291,122.193.207.23_80,151,151,151_151
192.168.7.144,106.11.47.20,59409,80,6,9,12,4218,1373,1525251616,2,262,192.168.7.144_59409,106.11.47.20_80,152,152,152_152
192.168.7.157,112.65.74.129,52437,443,6,2,1,609,52,1525251653,8,913,192.168.7.157_52437,112.65.74.129_443,103,103,103_103
192.168.6.238,122.193.207.23,55579,80,6,4,4,545,514,1525251623,8,237,192.168.6.238_55579,122.193.207.23_80,151,151,151_151
219.238.237.136,192.168.7.45,80,57766,6,6,5,649,1789,1525251649,8,237,219.238.237.136_80,192.168.7.45_57766,153,153,153_153
192.168.7.157,114.114.114.114,54912,53,17,1,1,90,106,1525251649,8,916,192.168.7.157_54912,114.114.114.114_53,9,3,3_9
203.208.50.36,192.168.7.147,443,59710,6,1,3,52,649,1525251660,8,913,203.208.50.36_443,192.168.7.147_59710,154,154,154_154
211.144.24.64,192.168.7.220,443,54452,6,1,3,52,314,1525251634,8,913,211.144.24.64_443,192.168.7.220_54452,155,155,155_155
192.168.7.157,211.90.25.49,52429,443,6,3,28,666,1456,1525251640,8,913,192.168.7.157_52429,211.90.25.49_443,29,29,29_29
192.168.6.238,122.193.207.34,55581,80,6,12,11,4761,8250,1525251641,8,237,192.168.6.238_55581,122.193.207.34_80,156,156,156_156
192.168.7.223,123.126.122.29,55542,443,6,3,1,415,60,1525251614,8,913,192.168.7.223_55542,123.126.122.29_443,123,123,123_123
192.168.7.234,223.252.199.66,60662,443,6,11,8,4159,1134,1525251643,8,913,192.168.7.234_60662,223.252.199.66_443,83,83,83_83
192.168.7.234,223.252.199.66,60665,443,6,2,3,253,309,1525251643,8,913,192.168.7.234_60665,223.252.199.66_443,83,83,83_83
192.168.7.233,180.76.76.76,41392,53,17,1,1,59,75,1525251646,8,916,192.168.7.233_41392,180.76.76.76_53,76,76,76_76
192.168.7.233,180.76.76.76,60976,53,17,1,1,60,141,1525251654,8,916,192.168.7.233_60976,180.76.76.76_53,76,76,76_76
192.168.6.254,122.193.207.31,60976,80,6,4,4,403,399,1525251621,8,237,192.168.6.254_60976,122.193.207.31_80,71,71,71_71
192.168.7.189,17.253.27.201,57050,80,6,5,4,391,912,1525251609,8,237,192.168.7.189_57050,17.253.27.201_80,157,157,157_157
192.168.7.3,119.29.47.96,54165,80,6,4,4,457,358,1525251647,8,237,192.168.7.3_54165,119.29.47.96_80,159,159,159_159
192.168.7.3,119.29.47.96,54166,80,6,4,4,457,358,1525251647,8,237,192.168.7.3_54166,119.29.47.96_80,159,159,159_159
221.228.204.93,192.168.6.254,80,60991,6,4,4,562,225,1525251645,8,237,221.228.204.93_80,192.168.6.254_60991,160,160,160_160
192.168.7.220,58.83.230.158,43778,443,6,3,1,319,52,1525251635,8,913,192.168.7.220_43778,58.83.230.158_443,162,162,162_162
192.168.7.220,58.83.230.158,43786,443,6,2,1,259,52,1525251636,8,913,192.168.7.220_43786,58.83.230.158_443,162,162,162_162
192.168.7.215,110.76.54.11,62605,443,6,3,1,396,64,1525251631,8,913,192.168.7.215_62605,110.76.54.11_443,163,163,163_163
192.168.7.215,140.205.61.57,63165,443,6,3,1,232,52,1525251630,8,913,192.168.7.215_63165,140.205.61.57_443,43,43,43_43
192.168.7.215,140.205.61.57,63164,443,6,3,1,232,52,1525251630,8,913,192.168.7.215_63164,140.205.61.57_443,43,43,43_43
192.168.6.254,122.193.207.53,60992,80,6,4,4,225,562,1525251646,8,237,192.168.6.254_60992,122.193.207.53_80,164,164,164_164
192.168.7.220,42.120.158.42,38085,443,6,3,1,306,60,1525251642,8,913,192.168.7.220_38085,42.120.158.42_443,166,166,166_166
192.168.7.220,42.120.158.42,38086,443,6,3,1,306,60,1525251642,8,913,192.168.7.220_38086,42.120.158.42_443,166,166,166_166
192.168.6.237,104.78.82.52,53320,443,6,2,5,92,4308,1525251620,8,913,192.168.6.237_53320,104.78.82.52_443,167,167,167_167
192.168.7.157,211.90.25.48,52393,443,6,7,20,959,5120,1525251624,8,913,192.168.7.157_52393,211.90.25.48_443,32,32,32_32
219.238.237.135,192.168.7.140,80,60717,6,3,4,396,1287,1525251649,8,237,219.238.237.135_80,192.168.7.140_60717,168,168,168_168
192.168.7.185,52.1.5.172,62716,443,6,10,9,1117,4065,1525251654,8,913,192.168.7.185_62716,52.1.5.172_443,170,170,170_170
192.168.7.185,52.1.5.172,62732,443,6,2,5,312,3570,1525251657,8,913,192.168.7.185_62732,52.1.5.172_443,170,170,170_170
192.168.1.19,8.8.8.8,49679,53,17,1,1,77,188,1525251645,8,916,192.168.1.19_49679,8.8.8.8_53,4,4,4_4
192.168.7.205,114.114.114.114,13582,53,17,1,1,81,156,1525251607,8,916,192.168.7.205_13582,114.114.114.114_53,3,3,3_3
192.168.7.205,114.114.114.114,19386,53,17,1,1,81,156,1525251607,8,916,192.168.7.205_19386,114.114.114.114_53,3,3,3_3
192.168.7.205,114.114.114.114,29897,53,17,1,1,59,129,1525251607,8,916,192.168.7.205_29897,114.114.114.114_53,3,3,3_3
192.168.7.205,114.114.114.114,17642,53,17,1,1,59,129,1525251607,8,916,192.168.7.205_17642,114.114.114.114_53,3,3,3_3
192.168.7.240,114.114.114.114,59696,53,17,1,1,65,130,1525251643,8,916,192.168.7.240_59696,114.114.114.114_53,3,3,3_3
192.168.7.187,52.138.216.83,3280,443,6,14,14,2543,4819,1525251645,8,913,192.168.7.187_3280,52.138.216.83_443,172,172,172_172
192.168.7.196,106.75.23.102,45180,443,6,3,1,681,60,1525251610,8,913,192.168.7.196_45180,106.75.23.102_443,174,174,174_174
192.168.7.196,106.75.23.102,45181,443,6,3,1,681,60,1525251610,8,913,192.168.7.196_45181,106.75.23.102_443,174,174,174_174
192.168.7.202,17.248.158.176,58837,443,6,3,1,419,60,1525251646,8,913,192.168.7.202_58837,17.248.158.176_443,175,175,175_175
192.168.7.196,120.132.60.202,55133,443,6,3,1,681,60,1525251610,8,913,192.168.7.196_55133,120.132.60.202_443,176,176,176_176
192.168.6.254,120.92.32.150,60993,80,6,4,4,224,562,1525251646,8,237,192.168.6.254_60993,120.92.32.150_80,177,177,177_177
23.42.177.73,192.168.7.223,443,55543,6,1,3,60,412,1525251614,8,913,23.42.177.73_443,192.168.7.223_55543,178,178,178_178
192.168.7.220,120.52.148.150,40364,443,6,3,1,321,52,1525251635,8,913,192.168.7.220_40364,120.52.148.150_443,180,180,180_180
192.168.7.220,120.52.148.150,40365,443,6,3,1,657,52,1525251635,8,913,192.168.7.220_40365,120.52.148.150_443,180,180,180_180
52.229.170.171,192.168.1.19,443,9312,6,6,3,6743,352,1525251619,8,913,52.229.170.171_443,192.168.1.19_9312,181,181,181_181
61.135.189.215,192.168.7.157,80,52438,6,11,11,1760,3567,1525251656,8,237,61.135.189.215_80,192.168.7.157_52438,182,182,182_182
54.222.194.140,192.168.7.201,443,45432,6,1,3,60,352,1525251660,8,913,54.222.194.140_443,192.168.7.201_45432,183,183,183_183
223.167.104.147,192.168.7.185,80,62717,6,4,5,1281,1026,1525251647,8,237,223.167.104.147_80,192.168.7.185_62717,184,184,184_184
54.65.128.244,192.168.7.200,443,52254,6,1,3,60,685,1525251603,8,913,54.65.128.244_443,192.168.7.200_52254,185,185,185_185
192.168.7.185,13.107.4.52,62715,80,6,5,4,366,858,1525251645,8,237,192.168.7.185_62715,13.107.4.52_80,186,186,186_186
192.168.6.175,1.1.1.1,62607,53,17,1,1,72,170,1525251659,8,916,192.168.6.175_62607,1.1.1.1_53,54,54,54_54
192.168.7.223,17.171.98.3,55538,443,6,3,1,416,60,1525251614,8,913,192.168.7.223_55538,17.171.98.3_443,187,187,187_187
192.168.7.202,17.248.152.44,58826,443,6,3,1,421,60,1525251627,8,913,192.168.7.202_58826,17.248.152.44_443,188,188,188_188
192.168.7.223,17.139.246.6,55539,443,6,3,1,377,52,1525251614,8,913,192.168.7.223_55539,17.139.246.6_443,189,189,189_189
192.168.7.202,17.248.160.18,58835,443,6,2,4,116,3112,1525251637,8,913,192.168.7.202_58835,17.248.160.18_443,190,190,190_190
52.229.172.155,192.168.7.131,443,10684,6,6,3,6743,352,1525251648,8,913,52.229.172.155_443,192.168.7.131_10684,191,191,191_191
219.238.237.133,192.168.6.242,80,54684,6,4,4,378,482,1525251632,8,237,219.238.237.133_80,192.168.6.242_54684,192,192,192_192
192.168.7.233,140.206.160.226,41670,80,6,5,4,566,574,1525251644,8,237,192.168.7.233_41670,140.206.160.226_80,193,193,193_193
203.208.41.90,192.168.7.97,443,56125,6,1,2,52,328,1525251610,8,913,203.208.41.90_443,192.168.7.97_56125,194,194,194_194
203.208.50.95,192.168.7.147,443,59670,6,1,3,52,649,1525251616,8,913,203.208.50.95_443,192.168.7.147_59670,195,195,195_195
8.8.4.4,192.168.7.144,53,57661,17,1,1,166,59,1525251608,8,916,8.8.4.4_53,192.168.7.144_57661,-1,4,-1_4
203.208.50.46,192.168.7.223,443,55544,6,1,3,60,416,1525251615,8,913,203.208.50.46_443,192.168.7.223_55544,197,197,197_197
192.168.7.116,211.159.155.139,10207,80,6,4,3,355,310,1525251659,8,237,192.168.7.116_10207,211.159.155.139_80,144,144,144_144
192.168.7.220,42.120.158.41,37898,443,6,3,1,307,60,1525251642,8,913,192.168.7.220_37898,42.120.158.41_443,81,81,81_81
192.168.7.194,119.29.49.207,58543,80,6,4,4,463,358,1525251639,8,237,192.168.7.194_58543,119.29.49.207_80,73,73,73_73
192.168.6.175,119.29.49.207,12061,80,6,4,4,537,440,1525251659,8,237,192.168.6.175_12061,119.29.49.207_80,73,73,73_73
192.168.7.223,17.248.160.21,55541,443,6,3,1,407,60,1525251614,8,913,192.168.7.223_55541,17.248.160.21_443,198,198,198_198
192.168.7.202,17.250.120.232,58833,443,6,3,1,405,60,1525251634,8,913,192.168.7.202_58833,17.250.120.232_443,199,199,199_199
192.168.6.242,110.173.196.58,54673,443,6,3,1,649,52,1525251613,5,351,192.168.6.242_54673,110.173.196.58_443,200,200,200_200
40.121.213.159,192.168.1.19,443,9318,6,5,2,5946,294,1525251646,8,913,40.121.213.159_443,192.168.1.19_9318,201,201,201_201
192.168.6.237,101.28.134.19,53303,80,6,8,8,672,6599,1525251601,8,237,192.168.6.237_53303,101.28.134.19_80,202,202,202_202
192.168.6.237,161.69.13.155,53308,443,6,6,6,482,6088,1525251603,8,913,192.168.6.237_53308,161.69.13.155_443,203,203,203_203
192.168.6.242,52.138.216.83,54706,443,6,3,4,346,3865,1525251656,8,913,192.168.6.242_54706,52.138.216.83_443,172,172,172_172
192.168.7.202,119.188.151.8,58827,443,6,3,1,388,52,1525251627,5,668,192.168.7.202_58827,119.188.151.8_443,204,204,204_204
192.168.7.220,110.75.129.11,39142,443,6,3,1,299,60,1525251636,5,252,192.168.7.220_39142,110.75.129.11_443,64,64,64_64
