ip1,ip2,port1,port2,proto,pkts12_min,pkts12_mid,pkts12_max,pkts21_min,pkts21_mid,pkts21_max,pkl12_min,pkl12_mid,pkl12_max,pkl21_min,pkl21_mid,pkl21_max,behavior_tag,topology_tag,class,app,community_tag
192.168.7.202,123.126.122.29,1.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,220.33333333333334,220.33333333333334,220.33333333333334,52.0,52.0,52.0,-2,123_123,8,913,22
192.168.7.223,123.126.122.29,1.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,138.33333333333334,138.33333333333334,138.33333333333334,60.0,60.0,60.0,-2,123_123,8,913,22
192.168.6.253,211.159.155.139,1.0,1.0,6.0,35.0,35.0,35.0,13.0,13.0,13.0,1267.3714285714286,1267.3714285714286,1267.3714285714286,56.53846153846154,56.53846153846154,56.53846153846154,-2,144_144,8,237,39
192.168.7.116,211.159.155.139,1.0,1.0,6.0,4.0,4.0,4.0,3.0,3.0,3.0,88.75,88.75,88.75,103.33333333333333,103.33333333333333,103.33333333333333,-2,144_144,8,237,39
192.168.6.238,122.193.207.23,1.0,1.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,136.25,136.25,136.25,128.5,128.5,128.5,-2,151_151,8,237,45
192.168.7.47,122.193.207.23,1.0,1.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,136.5,136.5,136.5,128.5,128.5,128.5,-2,151_151,8,237,45
192.168.6.242,52.138.216.83,1.0,1.0,6.0,3.0,3.0,3.0,4.0,4.0,4.0,115.33333333333333,115.33333333333333,115.33333333333333,966.25,966.25,966.25,-2,172_172,8,913,62
192.168.7.187,52.138.216.83,1.0,1.0,6.0,14.0,14.0,14.0,14.0,14.0,14.0,181.64285714285714,181.64285714285714,181.64285714285714,344.2142857142857,344.2142857142857,344.2142857142857,-2,172_172,8,913,62
192.168.1.111,202.106.0.20,6.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,55.0,55.0,257.0,257.0,257.0,0,1_1,8,916,90
192.168.1.112,202.106.0.20,6.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,55.0,55.0,257.0,257.0,257.0,0,1_1,8,916,90
192.168.6.217,202.106.0.20,2.0,1.0,17.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,33.5,67.0,364.0,364.0,364.0,-1,1_1,8,916,89
192.168.6.222,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,65.0,65.0,461.0,461.0,461.0,0,1_1,8,916,90
192.168.6.225,202.106.0.20,6.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,58.0,66.0,69.0,207.0,216.0,302.0,0,1_1,8,916,90
192.168.6.238,202.106.0.20,7.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,53.0,71.0,72.0,126.0,352.0,386.0,0,1_1,8,916,90
192.168.6.242,202.106.0.20,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,63.0,77.0,230.0,275.5,534.0,0,1_1,8,916,90
192.168.6.253,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,72.5,74.0,126.0,258.5,391.0,0,1_1,8,916,90
192.168.6.254,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,57.0,65.0,67.0,371.0,440.0,461.0,0,1_1,8,916,90
192.168.7.107,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,66.0,66.0,263.0,303.0,303.0,0,1_1,8,916,90
192.168.7.116,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,66.0,71.0,375.0,381.5,388.0,0,1_1,8,916,90
192.168.7.118,202.106.0.20,5.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,69.0,71.0,126.0,255.0,369.0,0,1_1,8,916,90
192.168.7.131,202.106.0.20,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,58.0,67.5,83.0,270.0,388.0,454.0,0,1_1,8,916,90
192.168.7.132,202.106.0.20,5.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,69.0,71.0,235.0,288.0,462.0,0,1_1,8,916,90
192.168.7.135,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,63.0,71.0,126.0,300.0,334.0,0,1_1,8,916,90
192.168.7.137,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,62.0,62.0,502.0,502.0,502.0,0,1_1,8,916,90
192.168.7.147,202.106.0.20,5.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,71.0,75.0,126.0,394.0,504.0,1,1_1,8,916,91
192.168.7.17,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,1_1,8,916,90
192.168.7.178,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,1_1,8,916,90
192.168.7.179,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,57.0,57.0,57.0,312.0,312.0,312.0,0,1_1,8,916,90
192.168.7.187,202.106.0.20,1.0,1.0,17.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,526.0,526.0,526.0,-1,1_1,8,916,89
192.168.7.189,202.106.0.20,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,59.5,63.0,276.0,488.5,520.0,0,1_1,8,916,90
192.168.7.191,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,63.0,64.0,214.0,223.0,232.0,0,1_1,8,916,90
192.168.7.192,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,67.0,71.0,71.0,126.0,126.0,297.0,0,1_1,8,916,90
192.168.7.195,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,1_1,8,916,90
192.168.7.196,202.106.0.20,8.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,60.0,79.0,324.0,360.0,523.0,1,1_1,8,916,91
192.168.7.200,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,81.0,81.0,81.0,522.0,522.0,522.0,0,1_1,8,916,90
192.168.7.201,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,72.0,72.0,72.0,430.0,430.0,430.0,0,1_1,8,916,90
192.168.7.202,202.106.0.20,7.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,69.0,72.0,282.0,426.0,522.0,0,1_1,8,916,90
192.168.7.204,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,65.0,65.0,114.0,114.0,114.0,0,1_1,8,916,90
192.168.7.205,202.106.0.20,5.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,59.0,81.0,129.0,156.0,202.0,0,1_1,8,916,90
192.168.7.207,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,65.0,65.0,161.0,195.5,230.0,0,1_1,8,916,90
192.168.7.214,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,63.0,63.0,63.0,276.0,276.0,276.0,0,1_1,8,916,90
192.168.7.215,202.106.0.20,16.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,62.0,71.0,137.0,358.5,529.0,1,1_1,8,916,91
192.168.7.219,202.106.0.20,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,67.0,69.0,69.0,235.0,235.0,364.0,0,1_1,8,916,90
192.168.7.220,202.106.0.20,17.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,61.0,69.0,161.0,258.0,496.0,1,1_1,8,916,91
192.168.7.222,202.106.0.20,8.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,62.0,71.0,126.0,334.0,346.0,1,1_1,8,916,91
192.168.7.223,202.106.0.20,7.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,69.0,73.0,81.0,170.0,504.0,537.0,0,1_1,8,916,90
192.168.7.227,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,59.0,59.0,413.0,413.0,413.0,0,1_1,8,916,90
192.168.7.228,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,71.0,71.0,126.0,126.0,164.0,0,1_1,8,916,90
192.168.7.229,202.106.0.20,9.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,63.0,76.0,276.0,520.0,537.0,0,1_1,8,916,90
192.168.7.234,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,62.0,62.0,417.0,417.0,417.0,0,1_1,8,916,90
192.168.7.236,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,67.0,67.0,67.0,381.0,381.0,381.0,0,1_1,8,916,90
192.168.7.246,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,75.0,75.0,75.0,290.0,290.0,290.0,0,1_1,8,916,90
192.168.7.248,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,68.0,68.0,68.0,462.0,462.0,462.0,0,1_1,8,916,90
192.168.7.25,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,66.0,71.0,126.0,212.0,298.0,0,1_1,8,916,90
192.168.7.3,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,61.0,61.0,410.0,410.0,410.0,0,1_1,8,916,90
192.168.7.31,202.106.0.20,9.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,59.0,69.0,246.0,321.0,383.0,1,1_1,8,916,91
192.168.7.34,202.106.0.20,7.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,70.0,73.0,275.0,301.0,495.0,0,1_1,8,916,90
192.168.7.38,202.106.0.20,5.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,63.0,64.0,72.0,174.0,281.0,461.0,0,1_1,8,916,90
192.168.7.39,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,62.0,62.0,334.0,334.0,334.0,0,1_1,8,916,90
192.168.7.40,202.106.0.20,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,69.0,71.0,126.0,230.0,364.0,0,1_1,8,916,90
192.168.7.42,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,66.5,71.0,126.0,230.0,334.0,0,1_1,8,916,90
192.168.7.47,202.106.0.20,10.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,54.0,71.0,126.0,289.5,385.0,1,1_1,8,916,91
192.168.7.49,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,1_1,8,916,90
192.168.7.66,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,71.0,71.0,126.0,410.0,518.0,0,1_1,8,916,90
192.168.7.79,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,1_1,8,916,90
192.168.7.94,202.106.0.20,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,1_1,8,916,90
192.168.7.97,202.106.0.20,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,69.0,72.0,73.0,345.0,358.0,404.0,0,1_1,8,916,90
192.168.6.237,202.106.0.20,5.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,69.0,74.0,82.0,139.0,526.0,539.0,-1,1_3,8,916,92
192.168.6.254,202.106.0.20,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,52.0,54.5,72.0,284.0,301.5,539.0,-1,1_3,8,916,92
192.168.7.187,202.106.0.20,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,77.0,77.0,77.0,534.0,534.0,534.0,-1,1_3,8,916,92
192.168.7.215,202.106.0.20,31.0,1.0,17.0,2.0,2.0,4.0,2.0,2.0,4.0,55.0,64.0,74.0,232.0,291.0,520.0,-1,1_3,8,916,92
192.168.6.237,114.114.114.114,5.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,69.0,74.0,82.0,85.0,239.0,303.0,-1,3_3,8,916,112
192.168.6.254,114.114.114.114,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,52.0,54.5,72.0,84.0,102.5,170.0,0,3_3,8,916,113
192.168.7.103,114.114.114.114,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,71.0,71.0,126.0,126.0,126.0,0,3_3,8,916,113
192.168.7.150,114.114.114.114,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,65.0,65.0,213.0,213.0,213.0,1,3_3,8,916,114
192.168.7.157,114.114.114.114,4.0,1.0,17.0,1.0,1.5,3.0,1.0,1.5,3.0,64.0,69.5,76.0,96.0,142.0,161.0,-1,3_3,8,916,112
192.168.7.185,114.114.114.114,8.0,1.0,17.0,1.0,1.0,2.0,1.0,1.0,2.0,62.0,63.5,69.0,79.0,137.0,352.0,-1,3_3,8,916,112
192.168.7.187,114.114.114.114,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,77.0,77.0,77.0,213.0,213.0,213.0,1,3_3,8,916,114
192.168.7.194,114.114.114.114,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,61.0,61.0,130.0,130.0,130.0,0,3_3,8,916,113
192.168.7.205,114.114.114.114,4.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,70.0,81.0,129.0,142.5,156.0,0,3_3,8,916,113
192.168.7.208,114.114.114.114,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,58.0,60.0,72.0,97.5,123.0,0,3_3,8,916,113
192.168.7.215,114.114.114.114,37.0,1.0,17.0,0.0,3.0,4.0,1.0,3.0,4.0,0.0,62.0,70.0,96.0,154.0,276.0,-1,3_3,8,916,112
192.168.7.240,114.114.114.114,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,65.0,65.0,130.0,130.0,130.0,0,3_3,8,916,113
192.168.7.44,114.114.114.114,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,66.5,71.0,78.0,102.0,126.0,0,3_3,8,916,113
192.168.7.68,114.114.114.114,7.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,62.0,63.0,69.0,78.0,167.0,200.0,-1,3_3,8,916,112
192.168.7.86,114.114.114.114,2.0,1.0,17.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,35.5,71.0,126.0,126.0,126.0,-1,3_3,8,916,112
192.168.7.97,114.114.114.114,3.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,59.0,69.0,120.0,165.0,211.0,-1,3_3,8,916,112
192.168.6.242,61.135.186.100,2.0,1.0,6.0,5.0,5.0,5.0,3.0,4.0,5.0,103.0,135.5,168.0,86.6,101.96666666666667,117.33333333333333,-2,45_45,8,237,120
192.168.7.34,61.135.186.100,2.0,1.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,105.2,137.8,170.4,115.33333333333333,134.16666666666666,153.0,-2,45_45,8,237,120
192.168.1.19,8.8.8.8,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,77.0,80.0,83.0,99.0,143.5,188.0,-1,4_4,8,916,123
192.168.1.204,8.8.8.8,14.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,59.0,59.0,98.0,104.0,110.0,-1,4_4,8,916,123
192.168.7.144,8.8.8.8,3.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,65.0,66.0,166.0,173.0,213.0,-1,4_4,8,916,123
192.168.7.49,8.8.8.8,35.0,1.0,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,71.0,71.0,126.0,126.0,126.0,-1,4_4,8,916,123
192.168.7.178,111.200.195.69,1.0,1.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,98.33333333333333,98.33333333333333,98.33333333333333,91.0,91.0,91.0,-2,50_50,8,913,124
192.168.7.44,111.200.195.69,2.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,124.66666666666667,124.66666666666667,124.66666666666667,52.0,52.0,52.0,-2,50_50,8,913,124
192.168.6.175,1.1.1.1,2.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,64.0,72.0,104.0,137.0,170.0,-2,54_54,8,916,127
192.168.7.183,1.1.1.1,3.0,1.0,17.0,1.0,5.0,5.0,0.0,0.0,1.0,57.0,57.0,71.0,0.0,0.0,176.0,-2,54_54,8,916,127
192.168.6.225,122.193.207.31,1.0,1.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,101.25,101.25,101.25,99.75,99.75,99.75,0,71_71,8,237,141
192.168.7.116,122.193.207.31,1.0,1.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,101.25,101.25,101.25,99.75,99.75,99.75,0,71_71,8,237,141
192.168.6.175,119.29.49.207,1.0,1.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,134.25,134.25,134.25,110.0,110.0,110.0,-2,73_73,8,237,142
192.168.7.194,119.29.49.207,2.0,1.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,115.75,116.625,117.5,89.5,89.5,89.5,-2,73_73,8,237,142
192.168.7.196,111.206.25.166,1.0,1.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,206.5,206.5,206.5,101.5,101.5,101.5,-2,86_86,8,237,150
192.168.7.233,111.206.25.166,2.0,1.0,6.0,5.0,5.5,6.0,4.0,4.0,4.0,165.4,184.61666666666667,203.83333333333334,90.5,96.0,101.5,-2,86_86,8,237,150
192.168.6.242,111.206.37.178,2.0,1.0,6.0,4.0,9.0,14.0,5.0,13.0,21.0,60.714285714285715,85.73214285714286,110.75,86.6,647.7761904761904,1208.952380952381,-2,93_93,8,237,156
192.168.7.34,111.206.37.178,4.0,1.0,6.0,4.0,5.0,7.0,5.0,5.5,11.0,81.57142857142857,98.5,110.75,86.6,135.96666666666667,1052.7272727272727,-2,93_93,8,237,156
